No,Barcode,HBM,Core,Channel,Bank,Failed_Test,failed_address,failed_address_count,Fail_mode,CDC-SID0,CDC-SID1,CDC-SID2,PFA,Report,Status,Defect_type_Log,Defect_location_Log,Defect_type_PFA,Defect_location_PFA,Assessment
1,TZNBFH17LP340TS10008,B,7,K0,I0,March & Scan,"[0x4, 0x8, 0x1a, 0x10, 0x0, 0x6, 0xe, 0x16, 0x1c, 0xc, 0x1e, 0x2, 0xa, 0x12, 0x18, 0x14]",16,Gross,,,,,SEC HBM for Training,,Die edge crack,Right_2,,,
2,TZNBFH17LP340TS10008,B,7,L0,I0,March & Scan,"[0x4, 0x8, 0x1a, 0x10, 0x0, 0x6, 0xe, 0x16, 0x1c, 0xc, 0x1e, 0x2, 0xa, 0x12, 0x18, 0x14]",16,Gross,,,,,SEC HBM for Training,,Die edge crack,Right_2,,,
3,TZNBMU93M1346LS10003,B,12,N1,H1,Scan,[0x25f9],1,cell,,Fail,Fail,,SEC HBM for Training,,Functional,,,,
4,TZNBMU93M1346LS10003,B,12,N1,J1,Scan,[0x520],1,cell,,Fail,Fail,,SEC HBM for Training,,Functional,,,,
5,TZNBMU93M1346LS10003,B,12,P1,I1,Scan,[0x32df],1,cell,,Fail,Fail,,SEC HBM for Training,,Functional,,,,
6,TZNBMU93M1346LS10003,F,8,M0,A0,March & Scan,"[0x4, 0x8, 0x1a, 0x10, 0x0, 0x6, 0xe, 0x16, 0x1c, 0xc, 0x1e, 0x2, 0xa, 0x12, 0x18, 0x14]",16,Gross,,Fail,Fail,,SEC HBM for Training,,Die edge crack,"Left_1, Right_1",,,
7,TZNBMU93M1346LS10003,F,8,N0,A0,March & Scan,"[0x4, 0x8, 0x1a, 0x10, 0x0, 0x6, 0xe, 0x16, 0x1c, 0xc, 0x1e, 0x2, 0xa, 0x12, 0x18, 0x14]",16,Gross,,Fail,Fail,,SEC HBM for Training,,Die edge crack,"Left_1, Right_1",,,
8,TZNBMU93M1346LS10003,F,8,O0,A0,March & Scan,"[0x4, 0x8, 0x1a, 0x10, 0x0, 0x6, 0xe, 0x16, 0x1c, 0xc, 0x1e, 0x2, 0xa, 0x12, 0x18, 0x14]",16,Gross,,Fail,Fail,,SEC HBM for Training,,Die edge crack,"Left_1, Right_1",,,
9,TZNBMU93M1346LS10003,F,8,P0,A0,March & Scan,"[0x4, 0x8, 0x1a, 0x10, 0x0, 0x6, 0xe, 0x16, 0x1c, 0xc, 0x1e, 0x2, 0xa, 0x12, 0x18, 0x14]",16,Gross,,Fail,Fail,,SEC HBM for Training,,Die edge crack,"Left_1, Right_1",,,
10,TZNBVV49LE416LS10005,A,1,A1,O1,Scan,[0x1d4f],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\A_T0\VS00915,,Functional,,,,
11,TZNBYA12LS415LS10016,D,1,A0,F0,Scan,[0x249e],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\A_T0\VS00915,,Functional,,,,
12,TZNBYA12LS415LS10016,D,1,A1,B1,Scan,[0x3fe4],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\A_T0\VS00915,,Functional,,,,
13,TZNBYA12LS415LS10016,D,1,B1,A1,Scan,[0x28d5],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\A_T0\VS00915,,Functional,,,,
14,TZNBYA12LS415LS10016,D,1,C1,C1,Scan,[0x2],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\A_T0\VS00915,,Functional,,,,
15,TZNBVV85LE416LS10008,D,1,D0,P0,Scan,[0x3db4],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\A_T0\VS00915,,Functional,,,,
16,TZNBYA12LS415LS10016,D,1,D1,A1,March & Scan,"[0x4, 0x8, 0x1a, 0x10, 0x0, 0x6, 0xe, 0x16, 0x1c, 0xc, 0x1e, 0x2, 0xa, 0x12, 0x18, 0x14]",16,Gross,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\A_T0\VS00915,,Die edge crack,Right_1,,,
17,TZNBYA12LS415LS10016,D,4,O1,N1,Scan,[0x1653],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\A_T0\VS00915,,Functional,,,,
18,TZNBYA12LS415LS10016,D,5,D0,D0,Scan,[0x2a36],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\A_T0\VS00915,,Functional,,,,
19,TZNBYA12LS415LS10016,D,6,H0,C0,Scan,[0x2a47],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\A_T0\VS00915,,Functional,,,,
20,TZNBYA12LS415LS10016,D,7,I0,M0,Scan,[0x59a],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\A_T0\VS00915,,Functional,,,,
21,TZNBYA12LS415LS10016,D,8,P1,L1,Scan,[0x32ee],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\A_T0\VS00915,,Functional,,,,
22,TZNBYA12LS415LS10016,D,11,I0,A0,Scan,[0x40f],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\A_T0\VS00915,,Functional,,,,
23,TZNBYA34LE416LS10012,H,1,A0,J0,Scan,[0x34c8],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\A_T0\VS00915,,Functional,,,,
24,TZNBYA34LE416LS10012,H,1,C1,E1,Scan,[0x5b2],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\A_T0\VS00915,,Functional,,,,
